epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.18471,3.3062,3.54517,2.85776,0.00333,1,0.00833,0.00304,2.42162,4.31624,2.69842,2e-05,2e-05,2e-05
2,2.82807,3.42138,3.76651,2.95382,0.00333,1,0.00836,0.00334,2.50862,4.30801,2.7287,5.406e-05,5.406e-05,5.406e-05
3,4.34971,3.24951,3.07467,2.81769,0.00333,1,0.00836,0.0037,2.48477,4.33867,2.77041,8.02e-05,8.02e-05,8.02e-05
4,6.14441,2.73447,3.27942,2.61787,0.00333,1,0.00858,0.00326,2.57314,4.4518,2.83931,9.842e-05,9.842e-05,9.842e-05
5,7.54544,2.74151,3.38816,2.23793,0.00333,1,0.00869,0.00358,2.62339,4.67035,2.89012,0.00010872,0.00010872,0.00010872
6,8.74895,2.20456,3.06858,1.90891,0.00333,1,0.00869,0.00358,2.62339,4.67035,2.89012,0.0001111,0.0001111,0.0001111
7,10.0016,2.59719,3.07516,2.52209,0.00333,1,0.00913,0.00367,2.55077,4.90368,2.98982,0.00010556,0.00010556,0.00010556
8,11.2522,2.22786,3.02099,2.23873,0.00333,1,0.01036,0.00423,2.35632,5.15007,3.05909,9.21e-05,9.21e-05,9.21e-05
9,12.6222,2.23448,2.96659,1.65275,0.00333,1,0.01036,0.00423,2.35632,5.15007,3.05909,7.072e-05,7.072e-05,7.072e-05
10,13.974,2.21872,2.99761,1.73606,0.00333,1,0.00686,0.0035,2.44385,5.25149,3.13597,4.142e-05,4.142e-05,4.142e-05
